Item,Description,Quantity,Unit Price,Shipping,Total price,Total price ($),product link
Nema 17 stepper motor,17HE19-2004S from stepper online,2,"8,64€","9,29€","26,57€","$30,75",Série E Nema 17 Bipolaire 55Ncm(77.88oz.in) 2A 42x48mm 4 Fils avec 1m Câble & Connecteur - 17HE19-2004S|STEPPERONLINE
Aluminium extrusions,1m double V-slot 4040,2,"27,68€","14,12€","69,48€","$80,40",Profilé aluminium V-SLOT 40x40 fente 6 mm - Anodisé noir
Battery bank ,"12v 1,5 amps minimum, any will do",1,"19,99€",0€,"19,99€","$23,13","VARMFRONT chargeur mobile universel, bleu foncé, 10400 mAh - IKEA"
18650 li ion batterie,"3,6v 3180mAh",2,"3,29€","4,10€","10,68€","$12,36",Panasonic NCR18650BD 3180mAh - 10A
12v to 5v Buck converter,for the slider control board,1,"2,79€",0€,"2,79€","$3,23",https://www.aliexpress.com/item/1005006151233979.html?spm=a2g0o.cart.0.0.23b3378dMurP7R&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.79%21EUR%202.79%21%21EUR%202.79%21%21%21%4021039a5b17782760872872786ee880%2112000038896346011%21ct%21FR%214694032608%21%211%210%21
"3,5 inch TFT screen","screen, non touch",1,"8,89€",0€,"8,89€","$10,29",https://www.aliexpress.com/item/1005004903996715.html?spm=a2g0o.cart.0.0.23b3378dMurP7R&mp=1&pdp_npi=6%40dis%21EUR%21EUR%208.89%21EUR%208.89%21%21EUR%208.89%21%21%21%4021039a5b17782760872872786ee880%2112000030966524284%21ct%21FR%214694032608%21%211%210%21
Joystick,XY joysticks to control the slider,2,"1,71€",0€,"3,42€","$3,96",https://www.aliexpress.com/item/1005007039932732.html?spm=a2g0o.cart.0.0.5700378djFgoGV&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.71%21EUR%201.71%21%21EUR%201.71%21%21%21%40211b431017783372421005990e1e48%2112000039184274979%21ct%21FR%214694032608%21%212%210%21
ESP32 S3 supermini,Dev boards,2,"4,49€",0€,"8,98€","$10,39",https://www.aliexpress.com/item/1005007941259180.html?spm=a2g0o.cart.0.0.5700378djFgoGV&mp=1&pdp_npi=6%40dis%21EUR%21EUR%204.49%21EUR%204.49%21%21EUR%204.49%21%21%21%40211b431017783372421005990e1e48%2112000042950049777%21ct%21FR%214694032608%21%213%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
IO expander,MCP 23017,1,"2,17€",0€,"2,17€","$2,51",https://www.aliexpress.com/item/1005008066849865.html?spm=a2g0o.cart.0.0.5700378djFgoGV&mp=1&pdp_npi=6%40dis%21EUR%21EUR%202.76%21EUR%202.76%21%21EUR%202.76%21%21%21%40211b431017783372421005990e1e48%2112000043519110514%21ct%21FR%214694032608%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
Cherry MX switches,10 pack of gateron yellow 3.0,1,"3,19€",0€,"3,19€","$3,69",https://www.aliexpress.com/item/1005006376024657.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%203.19%21EUR%203.19%21%21EUR%203.19%21%21%21%40210388c917783391283103619e83aa%2112000037159110203%21ct%21FR%214694032608%21%211%210%21
USB PD board,for 12v power,1,"4,59€",0€,"4,59€","$5,31",https://www.aliexpress.com/item/1005008209411188.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%2013.00%21EUR%204.59%21%21EUR%204.59%21%21%21%40210388c917783391283103619e83aa%2112000044241199869%21ct%21FR%214694032608%21%211%210%21
M5 locknuts,25 pack ,1,"1,89€",0€,"1,89€","$2,19",https://www.aliexpress.com/item/32798773566.html?spm=a2g0o.cart.0.0.5700378dLT79eA&mp=1&pdp_npi=6%40dis%21EUR%21EUR%201.89%21EUR%201.89%21%21EUR%201.89%21%21%21%40210388c917783391283103619e83aa%2112000015834876028%21ct%21FR%214694032608%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22pdpBusinessMode%22%3A%22retail%22%7D%7D
